EIN,cedar_uid,name,link_basis,link_tier
931428841,CE-001SC-95,Tribal Homeownership Coalition of the Southwest,minted 1183: GiveNative listing + IRS registration,A
421552956,CE-001SD-FY,Dakota Wicohan,minted 1183: GiveNative listing + IRS registration,A
394368368,CE-001SE-NQ,A Nuche Inc,minted 1183: GiveNative listing + IRS registration,A
882807422,CE-001SF-VG,Morning Star Conservancy Inc,minted 1183: GiveNative listing + IRS registration,A
853887724,CE-001SG-19,Texas Tribal Buffalo Project,minted 1183: GiveNative listing + IRS registration,A
273901099,CE-001SH-72,New Native Theatre,minted 1183: GiveNative listing + IRS registration,A
814054116,CE-001SJ-DV,We Are Healers Inc,minted 1183: GiveNative listing + IRS registration,A
474563866,CE-001SK-KM,Hopi Tutskwa Permaculture Institute,minted 1183: GiveNative listing + IRS registration,A
471477386,CE-001SM-SD,HUṠWEJ,minted 1183: GiveNative listing + IRS registration,A
911632134,CE-001SN-Z6,Red Feather Development Group,minted 1183: GiveNative listing + IRS registration,A
834690376,CE-001SP-5Z,Mauliola Ke`ehi,minted 1183: GiveNative listing + IRS registration,A
931756989,CE-001SQ-BR,Cante Waunsilpi Wi Ta Ominiciye,minted 1183: GiveNative listing + IRS registration,A
201421325,CE-001SR-HH,Minnesota Indian Women's Sexual Assault Coalition,minted 1183: GiveNative listing + IRS registration,A
881170614,CE-001SS-QA,Not Our Native Daughters,minted 1183: GiveNative listing + IRS registration,A
850771076,CE-001ST-X3,Data for Indigenous Justice,minted 1183: GiveNative listing + IRS registration,A
825231573,CE-001SV-3W,Portland All Nations Canoe Family,minted 1183: GiveNative listing + IRS registration,A
863303913,CE-001SW-9N,Buffalo Nations Grasslands Alliance,minted 1183: GiveNative listing + IRS registration,A
853053540,CE-001SX-FE,Nááts'íilid Initiative,minted 1183: GiveNative listing + IRS registration,A
880910186,CE-001SY-N7,Muwekma Ohlone Preservation Foundation,minted 1183: GiveNative listing + IRS registration,A
871422866,CE-001SZ-V0,Tongva Taraxat Paxaavxa Conservancy,minted 1183: GiveNative listing + IRS registration,A
274971660,CE-001T0-69,National Indigenous Women's Resource Center,minted 1183: GiveNative listing + IRS registration,A
814526053,CE-001T1-C2,Montessori American Indian Childcare Center,minted 1183: GiveNative listing + IRS registration,A
391961240,CE-001T2-JV,Abiinooji Aki Inc,minted 1183: GiveNative listing + IRS registration,A
562613191,CE-001T3-RM,Strong Hearted Native Womens Coalition Inc,minted 1183: GiveNative listing + IRS registration,A
874610186,CE-001T4-YD,Burning Cedar Sovereign Wellness,minted 1183: GiveNative listing + IRS registration,A
931755170,CE-001T5-46,Bear Paws Cultural Art,minted 1183: GiveNative listing + IRS registration,A
822590987,CE-001T6-AZ,Relentless Feather,minted 1183: GiveNative listing + IRS registration,A
330832220,CE-001T7-GR,Native American Land Conservancy,minted 1183: GiveNative listing + IRS registration,A
264377588,CE-001T8-PH,Tiwahe Foundation,minted 1183: GiveNative listing + IRS registration,A
911751115,CE-001T9-WA,Allottees Association & Affiliated Tribes of the Quinault Reservation,minted 1183: GiveNative listing + IRS registration,A
834695446,CE-001TA-23,Onkwe,minted 1183: GiveNative listing + IRS registration,A
581613534,CE-001TB-8W,Native American Indian Association of Tennessee,minted 1183: GiveNative listing + IRS registration,A
852386703,CE-001TC-EN,Buffalo Youth Nation Project,minted 1183: GiveNative listing + IRS registration,A
954479087,CE-001TD-ME,Gabrieleno-Tongva Tribal Council,minted 1183: GiveNative listing + IRS registration,A
884298730,CE-001TE-T7,Healing The Spirit Productions,minted 1183: GiveNative listing + IRS registration,A
820941192,CE-001TF-00,California Tribal Families Coalition,minted 1183: GiveNative listing + IRS registration,A
271888509,CE-001TG-6S,Native Dreams,minted 1183: GiveNative listing + IRS registration,A
863915040,CE-001TH-CJ,Through Piscataway Eyes,minted 1183: GiveNative listing + IRS registration,A
813870734,CE-001TJ-JB,National Native American Hall of Fame,minted 1183: GiveNative listing + IRS registration,A
844595782,CE-001TK-R4,Makoce Agriculture Development,minted 1183: GiveNative listing + IRS registration,A
883198957,CE-001TM-YX,Native American Housing Circle,minted 1183: GiveNative listing + IRS registration,A
831262027,CE-001TN-4P,Silver Stallion Bicycle & Coffee Works Inc,minted 1183: GiveNative listing + IRS registration,A
332617278,CE-001TP-AF,Woodland Heart Inc,minted 1183: GiveNative listing + IRS registration,A
850373602,CE-001TQ-G8,National Indian Youth Leadership Project,minted 1183: GiveNative listing + IRS registration,A
851254012,CE-001TR-P1,Virginia Tribal Education Consortium,minted 1183: GiveNative listing + IRS registration,A
842508093,CE-001TS-WT,Native Community Development Inc,minted 1183: GiveNative listing + IRS registration,A
264183908,CE-001TT-2K,The Center for Native Health,minted 1183: GiveNative listing + IRS registration,A
391955915,CE-001TV-8C,First Nations Outreach Inc,minted 1183: GiveNative listing + IRS registration,A
883626317,CE-001TW-E5,Indigenous Leadership Academy Pnw,minted 1183: GiveNative listing + IRS registration,A
831291686,CE-001TX-MY,Om Namo,minted 1183: GiveNative listing + IRS registration,A
933984098,CE-001TY-TQ,Blackfeet Mmip,minted 1183: GiveNative listing + IRS registration,A
942472564,CE-001TZ-0G,California Indian Manpower Consortium Inc,minted 1183: GiveNative listing + IRS registration,A
471275202,CE-001V0-BS,Fort Belknap Community Economic Development Corporation,minted 1183: GiveNative listing + IRS registration,A
237157585,CE-001V1-HJ,Puʻuhonua Society,minted 1183: GiveNative listing + IRS registration,A
923670019,CE-001V2-QB,Rezroads Rescue,minted 1183: GiveNative listing + IRS registration,A
333787060,CE-001V3-X4,Two Sister Bears Incorporated,minted 1183: GiveNative listing + IRS registration,A
990313224,CE-001V4-3X,Waipa Foundation,minted 1183: GiveNative listing + IRS registration,A
871996568,CE-001V5-9P,Community Assistance Teams of Flagstaff,minted 1183: GiveNative listing + IRS registration,A
934366703,CE-001V6-FF,Keu the Brand,minted 1183: GiveNative listing + IRS registration,A
991187327,CE-001V7-N8,Queens Court,minted 1183: GiveNative listing + IRS registration,A
880841552,CE-001V8-V1,Native Healthcare Center,minted 1183: GiveNative listing + IRS registration,A
851488307,CE-001V9-1T,Menomini yoU Inc.,minted 1183: GiveNative listing + IRS registration,A
823567245,CE-001VA-7K,Sduhubs Cultural and Family Servises,minted 1183: GiveNative listing + IRS registration,A
332514448,CE-001VB-DC,Rock the Native Vote Inc,minted 1183: GiveNative listing + IRS registration,A
993617262,CE-001VC-K5,Shades of Thorpe,minted 1183: GiveNative listing + IRS registration,A
332995570,CE-001VD-SY,Mighty Few Community Development,minted 1183: GiveNative listing + IRS registration,A
203840826,CE-001VE-ZQ,Language Conservancy,minted 1183: GiveNative listing + IRS registration,A
930951531,CE-001VF-5G,National Indian Child Welfare Association,minted 1183: GiveNative listing + IRS registration,A
471365561,CE-001VG-B9,Taking Up Space,minted 1183: GiveNative listing + IRS registration,A
920131608,CE-001VH-H2,Gwichin Steering Committee,minted 1183: GiveNative listing + IRS registration,A
861765304,CE-001VJ-QV,Waking Women Healing Institute Inc,minted 1183: GiveNative listing + IRS registration,A
393186353,CE-001VK-XM,Tribal Council for Responsible Gaming,minted 1183: GiveNative listing + IRS registration,A
612064836,CE-001VM-3D,I Ola Wailuanui Inc,minted 1183: GiveNative listing + IRS registration,A
050352796,CE-001VN-96,Tomaquag Museum,minted 1183: GiveNative listing + IRS registration,A
463668492,CE-001VP-FZ,Pine Ridge Girls School - Anpo Wichapi,minted 1183: GiveNative listing + IRS registration,A
581674687,CE-001VQ-NR,Triangle Native American Society Inc,minted 1183: GiveNative listing + IRS registration,A
611609588,CE-001VR-VH,Heartbeat Foster Family Support,minted 1183: GiveNative listing + IRS registration,A
850573960,CE-001VS-1A,Yee Ha’ólníi Doo,minted 1183: GiveNative listing + IRS registration,A
452621438,CE-001VT-73,Four Bridges Traveling Permaculture Institute,minted 1183: GiveNative listing + IRS registration,A
651311168,CE-001VV-DW,"Seeds of Harmony, Inc.",minted 1183: GiveNative listing + IRS registration,A
923646402,CE-001VW-KN,Two Powers Land Collective Incorporated,minted 1183: GiveNative listing + IRS registration,A
472238803,CE-000RA-MT,Native American Development Center,existing Cedar entity matched on exact EIN,A
930695227,CE-000R6-WP,Columbia River Inter-Tribal Fish Commission,existing Cedar entity matched on exact EIN,A
410976048,CE-000RB-TK,National Indian Education Association,existing Cedar entity matched on exact EIN,A
536017907,CE-000R8-88,National Congress of American Indians,existing Cedar entity matched on exact EIN,A
237135928,CE-001FG-F9,Native American Health Center Inc,existing Cedar entity matched on exact EIN,A
541970097,CE-000MY-RE,Oweesta Corporation,existing Cedar entity matched on exact EIN,A
237097915,CE-001EX-RY,Friendship House Association of American Indians,existing Cedar entity matched on exact EIN,A
450541654,CE-000S0-XG,American Indigenous Tourism Association,existing Cedar entity matched on exact EIN,A
822045927,CE-000N0-9G,Plenty Doors Community Development Corporation,existing Cedar entity matched on exact EIN,A
840611876,CE-000SH-3S,Native American Rights Fund,existing Cedar entity matched on exact EIN,A
391453493,CE-00112-NB,Lac Courte Oreilles Ojibwe University,existing Cedar entity matched on exact EIN,A
863476486,CE-001FB-HC,Montana Consortium for Urban Indian Health,existing Cedar entity matched on exact EIN,A
363886772,CE-000RG-RG,Intertribal Agriculture Council Inc,existing Cedar entity matched on exact EIN,A
810769698,CE-000W0-C0,Native Hawaiian Philanthropy,existing Cedar entity matched on exact EIN,A
942476242,CE-001F5-DP,Indian Health Center of Santa Clara Valley,existing Cedar entity matched on exact EIN,A
330798803,CE-000SF-Q7,National Council of Urban Indian Health,existing Cedar entity matched on exact EIN,A
383419567,CE-000S6-16,Native American Finance Officers Association Inc,existing Cedar entity matched on exact EIN,A
237226316,CE-000RQ-2Z,National Indian Health Board,existing Cedar entity matched on exact EIN,A
411673625,CE-000QH-SS,White Earth Land Recovery Project,existing Cedar entity matched on exact EIN,A
