candidate_id,name,publisher,url,contains,grain,feeds_cedar_dataset,join_identifier,access_route,terms_verbatim,terms_source_url,robots_posture,estimated_rows,refresh_cadence,measured_status,verdict,verdict_reason
bie_schools_directory,"BIE Schools Directory web application","Bureau of Indian Education / BIA",https://www.bie.edu/schools,"183 Bureau-funded elementary and secondary schools and residential facilities, with location and contact information",one row per school,_entity_layer (116 BIE schools stale by construction),school name; NCES school number,"HTML front end for biamaps.geoplatform.gov; the backing service is the BIA ArcGIS server above","the app's own og:description, verbatim: ""Here are 183 Bureau-funded elementary and secondary schools and residential facilities. Of these, 55 are BIE-Operated and 128 are Tribally Controlled. The BIE also directly operates two postsecondary institutions... This web application replaces the Bureau of Indian Education School Directory on the BIE website.""",https://www.bie.edu/schools,"bie.edu robots is the stock Drupal file; biamaps robots 404 -> allowed",183 (stated by the publisher),"unstated; the app is the replacement for the static directory",VERIFIED_200_AND_BACKING_HOST_IDENTIFIED,ACQUIRE,"KNOWN_ISSUES A4 says NCES cannot make a BIE school look fresh because CCD's newest fips-59 year is 2024. This is the AGENCY'S OWN directory, it names 183 schools against CCD's static 174, and it is served off an open ArcGIS host. It is the only route identified that can beat 2024-10-01."
gsa_elibrary,"GSA eLibrary schedule contract holders","GSA",https://www.gsaelibrary.gsa.gov/ElibMain/,"schedule contract holders, contract numbers, SIN coverage, socio-economic status",one row per contractor x schedule,prime_contracts.csv,contract number; UEI,HTML,"robots.txt, verbatim and complete: ""User-agent: *"" / ""Allow: /ElibMain/home.do"" / ""Disallow: /ElibMain/""",https://www.gsaelibrary.gsa.gov/robots.txt,"The home page is explicitly allowed and EVERYTHING ELSE under /ElibMain/ is explicitly disallowed for User-agent: *",unmeasured,continuous,VERIFIED_ROBOTS_ALLOWS_ONLY_THE_HOMEPAGE,REJECT,"UNTAPPED_FREE_SOURCES G4 left this NOT_CHECKED with 'reachable, not queried'. Now checked: the publisher allows the landing page and disallows the entire application. This closes G4 as a negative with the quote that proves it."
hrsa_data,"HRSA data warehouse downloads","Health Resources & Services Administration",https://data.hrsa.gov/data/download,"health centre and grantee service delivery sites, incl. tribal and urban Indian grantees",one row per site,_entity_layer / np_orgs.csv,organisation name + address,bulk download,"robots.txt lists twenty-four agents in one group and ends with Disallow: /. The group names, verbatim: ""User-agent: ClaudeBot"", ""User-agent: Claude-Web"", ""User-agent: Claude-User"", ""User-agent: anthropic-ai"", ""User-agent: CCBot"" ... ""Disallow: /"". There is NO User-agent: * group.",https://data.hrsa.gov/robots.txt,"DISALLOWED FOR ClaudeBot, Claude-User, anthropic-ai and CCBot. No * group exists, so a non-named agent is unrestricted.",unmeasured,quarterly,VERIFIED_ROBOTS_REFUSES_THIS_CLIENT,REJECT,"Second instance of the named trap. The header comment on the group is '#ai chatbots'. Cedar's own UA is not named, but the publisher's intent is stated and four Anthropic-named agents are refused; treat as refused."
nigc_gaming_operation_list,"NIGC gaming tribe / gaming operation list","National Indian Gaming Commission",https://www.nigc.gov/,the roster of gaming tribes and gaming operations,one row per operation,gaming_facilities.csv,tribe name; facility name,"HTML; wp-sitemap.xml index reachable (14 child sitemaps incl. three wpdmpro document sitemaps)","robots.txt, verbatim and complete: ""User-agent: *"" / ""Disallow: /wp-admin/"" / ""Allow: /wp-admin/admin-ajax.php"" / ""User-agent: *"" / ""Disallow: /wp-content/uploads/wpforms/"" / ""Sitemap: https://www.nigc.gov/wp-sitemap.xml""",https://www.nigc.gov/robots.txt,ALLOWED except /wp-admin/ and the wpforms upload directory,"14 child sitemaps listed; not walked",continuous,SITEMAP_200_GUESSED_PATH_404,INVESTIGATE,"The guessed /general-counsel/gaming-tribe-list path 404s. NIGC IS in the 55-source registry (nigc_documents CURRENT, nigc_ordinances UNKNOWN_SOURCE_EDGE) so this is a coverage question inside a held source, not a new source. The three wpdmpro sitemaps are the document surface GAMING_SOURCE_AUDIT already warns 302s to one PDF."
ny_gaming_tribal,"NYS Gaming Commission tribal gaming pages","New York State Gaming Commission",https://www.gaming.ny.gov/gaming/index.php?ID=8,"tribal-state compact exclusivity payments (Seneca, Oneida, St. Regis Mohawk)",one row per payment period,gaming_facility_metrics.csv,tribe name,HTML,"robots.txt is the stock Drupal file: /core/, /profiles/, /admin/, /search/, /user/register disallowed for User-agent: *",https://www.gaming.ny.gov/robots.txt,ALLOWED,"page 200, 40,752 bytes; payment rows not parsed",periodic,PAGE_200_NOT_PARSED,INVESTIGATE,"Per-facility gaming revenue exists for 11 of 787 facilities. New York is one of the few states whose exclusivity payments are a direct revenue proxy for named tribes, and REFRESH_CADENCE's other_state_regulators row is 1_SOURCE_NOT_PUBLISHED, not 'no such source'."
ok_exclusivity,"Oklahoma tribal gaming exclusivity fees","State of Oklahoma / OMES",https://oklahoma.gov/,per-tribe exclusivity fee payments,one row per tribe x period,gaming_facility_metrics.csv,tribe name,HTML,"robots.txt, verbatim and complete: ""User-agent: *"" / ""Allow: /"" / ""Sitemap:https://oklahoma.gov/sitemap.xml""",https://oklahoma.gov/robots.txt,ALLOWED,"two OK exclusivity-fee HTML captures already on disk",periodic,ON_DISK_NOT_PROMOTED,REJECT,"data/raw/external/gaming_official/ok_compacted-tribes_gaming-exclusivity-fees.html and ok_gaming-exclusivity-fees.html are already local. The guessed 2026 path 404s but the host allows everything and publishes a sitemap; this is a PARSE job, not a fetch."
wi_doa_gaming,"Wisconsin DOA tribal gaming payments","Wisconsin Dept. of Administration",https://doa.wi.gov/,per-tribe gaming compact payments,one row per tribe x year,gaming_facility_metrics.csv,tribe name,HTML,"robots.txt 132 bytes, no blocking directive on the probed paths",https://doa.wi.gov/robots.txt,ALLOWED,"sitemap.xml answers 200 but is only 347 bytes",periodic,SITEMAP_200_BUT_NEARLY_EMPTY,INVESTIGATE,"Both guessed paths 404. The publisher's sitemap is 347 bytes, which is too small to be a site index - the real enumeration route was not found. Recorded as unresolved rather than as an absence."
ks_gaming,"Kansas Racing and Gaming Commission tribal gaming","Kansas Racing and Gaming Commission",https://krgc.ks.gov/,tribal gaming oversight records,unknown,gaming_facility_metrics.csv,tribe name,HTML,"robots.txt 865 bytes",https://krgc.ks.gov/robots.txt,ALLOWED,unmeasured,unknown,GUESSED_PATH_404_NOT_ENUMERATED,INVESTIGATE,"Guessed path 404 and no enumeration attempted. Not a negative."
fhwa_ttp,"FHWA Tribal Transportation Program allocations","Federal Highway Administration",https://highways.dot.gov/federal-lands/programs-tribal/allocations,per-tribe TTP formula allocation by year,one row per tribe x year,federal_funding_transactions.csv,tribe name -> cedar_uid,HTML + XLSX,"the host returned HTTP 403 to BOTH the declared UA and a browser UA, including on robots.txt",https://highways.dot.gov/robots.txt,UNKNOWABLE - robots.txt itself 403s,unmeasured,annual,VERIFIED_403_BOTH_UAS,INVESTIGATE,"A 403 to two different user agents on both robots and the content is an edge filter, not a stated refusal (PULL_DISCIPLINE: only 404 and 403 are facts about an object, and this 403 is on the ROUTE). Per-tribe TTP allocations are real annual money nobody in Cedar holds. Try a different network path or the DOT open-data portal."
usda_rd_obligations,"USDA Rural Development obligation reports","USDA Rural Development",https://www.rd.usda.gov/about-rd/performance/rural-development-obligation-reports,per-recipient RD programme obligations,one row per obligation,federal_funding_transactions.csv,recipient name,HTML + XLSX,"HTTP 403 to both the declared UA and a browser UA, including on robots.txt",https://www.rd.usda.gov/robots.txt,UNKNOWABLE - robots.txt itself 403s,unmeasured,annual,VERIFIED_403_BOTH_UAS,INVESTIGATE,"Same shape as FHWA. Also largely redundant with USAspending assistance, which Cedar holds at 701,955 rows - so the incremental value is low even if the block clears."
denali_commission,"Denali Commission project database","Denali Commission",https://www.denali.gov/,federal infrastructure projects in Alaska communities,one row per project,federal_funding_transactions.csv (Alaska),community name; recipient name,HTML,"robots.txt 24 bytes, no blocking directive",https://www.denali.gov/robots.txt,ALLOWED,unmeasured,unknown,GUESSED_PATH_404,INVESTIGATE,"Guessed path 404, host open, not enumerated. Alaska-specific and therefore aimed at the thinnest part of the entity layer."
eia_api,"EIA API v2 (Forms EIA-860 / EIA-861 generator and utility ownership)","U.S. Energy Information Administration",https://api.eia.gov/v2/,"generator and utility ownership, including tribal utilities",one row per generator / utility x year,natural-resources,utility name,"REST JSON, free registration key required","unkeyed request returns, verbatim: ""{ \"error\": { \"code\": \"API_KEY_MISSING\", \"message\": \"No api_key was supplied. Please register for one at https://www.eia.gov/opendata/register.php\" } }""",https://api.eia.gov/v2/,"robots.txt is served by the API and returns the same API_KEY_MISSING JSON with HTTP 403 - not a robots file",unmeasured,"EIA-860 annual, EIA-861 annual",VERIFIED_KEYED_ROUTE_EXISTS,INVESTIGATE,"Free key, no Cedar key held. Value is moderate: tribal utilities are few and the join is by utility name. Rank below the land and USF sources."
fcc_ecfs,"FCC ECFS filings API","Federal Communications Commission",https://publicapi.fcc.gov/ecfs/filings,"comment and ex parte filings by docket and filer, incl. tribal governments and tribal broadband parties",one row per filing,native_entity_lobbying_disclosures.csv / the advocacy layer,filer name,"REST JSON, api.data.gov key required",(403 body not captured beyond status),https://publicapi.fcc.gov/ecfs/filings?limit=2,"403 to both the declared UA and a browser UA on the API path",unmeasured,continuous,VERIFIED_403_BOTH_UAS_LIKELY_KEY,INVESTIGATE,"START_HERE records that the FCC contributes 4,430 of 7,818 FR ex parte documents and 'almost nothing', because its real ex parte record is in ECFS. This is the route to the substance behind that. Needs a key; Cedar holds api.data.gov keys for FAC and could reuse the pattern."
onrr_production,"ONRR Natural Resources Revenue Data - downloads page","ONRR / revenuedata.doi.gov",https://revenuedata.doi.gov/downloads/,"federal and Indian production volumes alongside the revenue Cedar already holds",one row per lease/product/month,resource_revenue.csv (the missing denominator),lease; land class,bulk CSV,"robots.txt, verbatim and complete: ""User-agent: *"" / ""Disallow: /patterns/"" / ""Sitemap: https://revenuedata.doi.gov/sitemap/sitemap-0.xml""",https://revenuedata.doi.gov/robots.txt,ALLOWED (only /patterns/ disallowed),"page 200, 21,127 bytes; file list not parsed",monthly,PAGE_200_NOT_PARSED,INVESTIGATE,"Not a new source - onrr_nrrd_monthly is already CURRENT in the registry. This is the PRODUCTION half of a source Cedar already pulls, which WHAT_IS_MISSING labels NOT_ACQUIRED from a source already held. One extract, not a new relationship."
bls_qcew,"BLS QCEW ownership classification","Bureau of Labor Statistics",https://www.bls.gov/cew/classifications/ownerships/ownership-titles.htm,QCEW ownership code titles,code,gaming_employment_observations.csv,n/a,HTML,"robots.txt names User-agent: * and archive.org_bot",https://www.bls.gov/robots.txt,ALLOWED,n/a,quarterly,PAGE_200_CONTENT_NOT_EXTRACTED,INVESTIGATE,"The brief asks whether QCEW carries a tribal ownership code. The page answers 200 but its table was not extracted in this pass, so THE QUESTION IS NOT ANSWERED. Do not record either answer without reading the table - and note the pooled Form 5500 + OSHA measure already reaches 86% of gaming tribes, so the upside is small."
candid,"Candid / Foundation Directory API","Candid",https://developer.candid.org/,foundation grants and 990 data,one row per grant,grantmaker_funding_flows.csv,EIN,"REST API, registration required","(developer portal 200; the licence terms were not extracted from the rendered page)",https://developer.candid.org/,"robots.txt served on both candid.org and developer.candid.org, User-agent: *, no blocking directive on the probed paths",unmeasured,continuous,PORTAL_200_TERMS_NOT_READ,INVESTIGATE,"The owner named Candid. Both hosts answer 200 and neither blocks by robots. What was NOT established is price and licence, and Candid's model is commercial - so this is a terms-and-cost question for the owner, not a technical one. Do not record it as free."
ca_charity_registry,"California Registry of Charities and Fundraisers","California Dept. of Justice",https://rct.doj.ca.gov/,registered charity filings and status,one row per registrant,np_orgs.csv,EIN; organisation name + CA,"HTML search; a public data export is advertised elsewhere","oag.ca.gov robots.txt served (2,189 bytes), User-agent: *",https://oag.ca.gov/robots.txt,ALLOWED on oag.ca.gov,unmeasured,continuous,"HOST_UNRESOLVED (rct.doj.ca.gov URLError) AND GUESSED_PATH_404 on oag.ca.gov",INVESTIGATE,"Neither probe reached the object. A DNS failure is not a refusal and a guessed 404 is not an absence. California holds a large share of Cedar's tribal nonprofits; worth one more attempt via the oag.ca.gov site index."
ny_charity_registry,"New York State open data (data.ny.gov) - charities and grants","NY State",https://data.ny.gov/,"Socrata catalog; a charities-related search returns state contract and programme assets",one row per asset,np_orgs.csv,organisation name,"Socrata SODA API, no key","robots.txt 1,742 bytes, User-agent: *",https://data.ny.gov/robots.txt,ALLOWED,"catalog query 200, 21,815 bytes; the assets returned were LEAPS after-school contracts, not the Charities Bureau register",continuous,CATALOG_200_TARGET_ASSET_NOT_FOUND,REJECT,"The query answered and what came back was not a charity register. Recorded as a measured miss on this query, not as proof the register is absent - but there is no evidence for it and higher-value leads exist."
ak_geoportal,"Alaska Geoportal (gis.data.alaska.gov)","State of Alaska, Alaska Geospatial Office",https://gis.data.alaska.gov/,statewide GIS hub,dataset,_entity_layer (Alaska),community name,ArcGIS Hub,"robots.txt returns the Hub SPA HTML, not a robots file - treated as not served",https://gis.data.alaska.gov/robots.txt,ALLOWED,unmeasured,continuous,"HUB_200 BUT the /api/search/v1/collections path returned the SPA HTML, not JSON",INVESTIGATE,"The hub is alive; the OGC collections path is not the right API shape for it. Low priority next to the DCCED ArcGIS org."
fsrs,"FSRS.gov subaward reporting system","GSA",https://www.fsrs.gov/,prime recipient subaward reports,one row per subaward,subawards.csv,UEI,unresolved,(host did not resolve),https://www.fsrs.gov/,UNKNOWABLE - DNS/connect failure,unmeasured,continuous,VERIFIED_URLERROR_HOST_DID_NOT_RESOLVE,REJECT,"Two reasons. (1) The host did not resolve from this network. (2) It is redundant: FSRS data is republished through api.usaspending.gov, which Cedar already pulls as fsrs_subawards holding 76,859 rows through 2026-08-03."
doi_landbuyback,"DOI Land Buy-Back Program results","U.S. Dept. of the Interior",https://www.doi.gov/,"per-reservation fractionated-interest acquisitions",one row per reservation,natural-resources / _entity_layer,reservation name,HTML,"doi.gov robots.txt served (2,289 bytes), User-agent: *",https://www.doi.gov/robots.txt,ALLOWED,unmeasured,"programme concluded",GUESSED_PATH_404,INVESTIGATE,"Guessed path 404, host open, sitemap not walked. The programme has ended so this is a one-time historical acquisition at best."
nps_thpo_grants,"NPS Historic Preservation Fund tribal grants","National Park Service",https://www.nps.gov/,per-tribe THPO and Tribal Heritage grant awards,one row per grant x year,federal_funding_transactions.csv,tribe name,HTML,"robots.txt 178 bytes, names * and bingbot",https://www.nps.gov/robots.txt,ALLOWED,unmeasured,annual,GUESSED_PATH_404,INVESTIGATE,"Guessed path 404. Likely already inside USAspending assistance, so check there before treating it as missing."
sba_certification_api,"SBA MySBA Certifications","U.S. Small Business Administration",https://certification.sba.gov/,"8(a), HUBZone, WOSB and VetCert certification applications and status",one row per firm,native_owned_businesses.csv,UEI,"Next.js SPA; no public read API located, /sitemap.xml 404s","robots.txt returns the SPA HTML with HTTP 404 - not a robots file",https://certification.sba.gov/robots.txt,"ALLOWED (no robots file served)",unmeasured,continuous,SPA_200_NO_PUBLIC_DATA_ROUTE_FOUND,REJECT,"It is an APPLICATION portal, not a register. Combined with the data.sba.gov enumeration above, the finding is that SBA publishes certification STATUS through SAM entity data, not as a downloadable roster - which routes the NHO 8(a) question back to the SAM key Cedar is already blocked on."
